t              SphereRCS.fdtd_Point probe_Ey_15_15_4.dat       incid
   0.15714798837218602E-007   0.290900090E-003   0.000000000E+000
   0.15745612168271972E-007  -0.123630423E-003   0.000000000E+000
   0.15776425499325342E-007  -0.505913398E-003   0.000000000E+000
   0.15807238830378711E-007  -0.810644822E-003   0.000000000E+000
   0.15838052161432081E-007  -0.100563851E-002   0.000000000E+000
   0.15868865492485451E-007  -0.107522821E-002   0.000000000E+000
   0.15899678823538821E-007  -0.102122303E-002   0.000000000E+000
   0.15930492154592191E-007  -0.861452019E-003   0.000000000E+000
   0.15961305485645561E-007  -0.626260589E-003   0.000000000E+000
   0.15992118816698930E-007  -0.353570242E-003   0.000000000E+000
   0.16022932147752300E-007  -0.832621590E-004   0.000000000E+000
   0.16053745478805670E-007   0.148323990E-003   0.000000000E+000
   0.16084558809859040E-007   0.313057477E-003   0.000000000E+000
   0.16115372140912410E-007   0.394292350E-003   0.000000000E+000
   0.16146185471965779E-007   0.388410816E-003   0.000000000E+000
   0.16176998803019149E-007   0.304536748E-003   0.000000000E+000
   0.16207812134072519E-007   0.162558281E-003   0.000000000E+000
   0.16238625465125889E-007  -0.101997721E-004   0.000000000E+000
   0.16269438796179259E-007  -0.183161654E-003   0.000000000E+000
   0.16300252127232628E-007  -0.326966576E-003   0.000000000E+000
   0.16331065458285998E-007  -0.417624891E-003   0.000000000E+000
   0.16361878789339368E-007  -0.439825060E-003   0.000000000E+000
   0.16392692120392738E-007  -0.388969813E-003   0.000000000E+000
   0.16423505451446108E-007  -0.271680125E-003   0.000000000E+000
   0.16454318782499477E-007  -0.104703882E-003   0.000000000E+000
   0.16485132113552847E-007   0.876301201E-004   0.000000000E+000
   0.16515945444606217E-007   0.277074869E-003   0.000000000E+000
   0.16546758775659587E-007   0.435748254E-003   0.000000000E+000
   0.16577572106712957E-007   0.540438399E-003   0.000000000E+000
   0.16608385437766326E-007   0.576305203E-003   0.000000000E+000
