t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.21168758433665058E-007  -0.192255320E-004   0.000000000E+000
   0.21199571764718428E-007   0.123396385E-004   0.000000000E+000
   0.21230385095771798E-007   0.274591148E-004   0.000000000E+000
   0.21261198426825167E-007   0.769633152E-005   0.000000000E+000
   0.21292011757878537E-007  -0.174116849E-004   0.000000000E+000
   0.21322825088931907E-007  -0.150116484E-004   0.000000000E+000
   0.21353638419985277E-007   0.452683889E-005   0.000000000E+000
   0.21384451751038647E-007   0.916582030E-005   0.000000000E+000
   0.21415265082092017E-007  -0.294115762E-005   0.000000000E+000
   0.21446078413145386E-007  -0.505716116E-005   0.000000000E+000
   0.21476891744198756E-007   0.882874338E-005   0.000000000E+000
   0.21507705075252126E-007   0.118564631E-004   0.000000000E+000
   0.21538518406305496E-007  -0.824233848E-005   0.000000000E+000
   0.21569331737358866E-007  -0.223152165E-004   0.000000000E+000
   0.21600145068412235E-007  -0.403252670E-005   0.000000000E+000
   0.21630958399465605E-007   0.235495154E-004   0.000000000E+000
   0.21661771730518975E-007   0.190068859E-004   0.000000000E+000
   0.21692585061572345E-007  -0.127072926E-004   0.000000000E+000
   0.21723398392625715E-007  -0.252785994E-004   0.000000000E+000
   0.21754211723679084E-007  -0.145697231E-005   0.000000000E+000
   0.21785025054732454E-007   0.211569877E-004   0.000000000E+000
   0.21815838385785824E-007   0.971880399E-005   0.000000000E+000
   0.21846651716839194E-007  -0.138886226E-004   0.000000000E+000
   0.21877465047892564E-007  -0.112615453E-004   0.000000000E+000
   0.21908278378945933E-007   0.101157093E-004   0.000000000E+000
   0.21939091709999303E-007   0.118440939E-004   0.000000000E+000
   0.21969905041052673E-007  -0.950569029E-005   0.000000000E+000
   0.22000718372106043E-007  -0.160377422E-004   0.000000000E+000
   0.22031531703159413E-007   0.672062743E-005   0.000000000E+000
   0.22062345034212782E-007   0.222837225E-004   0.000000000E+000
   0.22093158365266152E-007   0.207411176E-005   0.000000000E+000
   0.22123971696319522E-007  -0.245807751E-004   0.000000000E+000
   0.22154785027372892E-007  -0.146697048E-004   0.000000000E+000
   0.22185598358426262E-007   0.185206627E-004   0.000000000E+000
   0.22216411689479632E-007   0.241625112E-004   0.000000000E+000
   0.22247225020533001E-007  -0.614635064E-005   0.000000000E+000
   0.22278038351586371E-007  -0.252606806E-004   0.000000000E+000
   0.22308851682639741E-007  -0.538708809E-005   0.000000000E+000
   0.22339665013693111E-007   0.195571174E-004   0.000000000E+000
   0.22370478344746481E-007   0.107625865E-004   0.000000000E+000
   0.22401291675799850E-007  -0.136888984E-004   0.000000000E+000
   0.22432105006853220E-007  -0.117837426E-004   0.000000000E+000
   0.22462918337906590E-007   0.116941028E-004   0.000000000E+000
   0.22493731668959960E-007   0.144339219E-004   0.000000000E+000
   0.22524545000013330E-007  -0.104534365E-004   0.000000000E+000
   0.22555358331066699E-007  -0.208208439E-004   0.000000000E+000
   0.22586171662120069E-007   0.407391781E-005   0.000000000E+000
   0.22616984993173439E-007   0.259420813E-004   0.000000000E+000
   0.22647798324226809E-007   0.804169758E-005   0.000000000E+000
   0.22678611655280179E-007  -0.234852305E-004   0.000000000E+000
   0.22709424986333548E-007  -0.195750836E-004   0.000000000E+000
   0.22740238317386918E-007   0.134128604E-004   0.000000000E+000
   0.22771051648440288E-007   0.240157860E-004   0.000000000E+000
   0.22801864979493658E-007  -0.211228871E-005   0.000000000E+000
   0.22832678310547028E-007  -0.213733238E-004   0.000000000E+000
   0.22863491641600397E-007  -0.460852425E-005   0.000000000E+000
   0.22894304972653767E-007   0.172027540E-004   0.000000000E+000
   0.22925118303707137E-007   0.714037742E-005   0.000000000E+000
   0.22955931634760507E-007  -0.158561506E-004   0.000000000E+000
   0.22986744965813877E-007  -0.104072387E-004   0.000000000E+000
   0.23017558296867247E-007   0.158012463E-004   0.000000000E+000
   0.23048371627920616E-007   0.174485340E-004   0.000000000E+000
   0.23079184958973986E-007  -0.117074323E-004   0.000000000E+000
   0.23109998290027356E-007  -0.252523369E-004   0.000000000E+000
   0.23140811621080726E-007   0.864380127E-006   0.000000000E+000
   0.23171624952134096E-007   0.271628105E-004   0.000000000E+000
   0.23202438283187465E-007   0.126024552E-004   0.000000000E+000
   0.23233251614240835E-007  -0.199244732E-004   0.000000000E+000
   0.23264064945294205E-007  -0.206842160E-004   0.000000000E+000
   0.23294878276347575E-007   0.822853690E-005   0.000000000E+000
   0.23325691607400945E-007   0.197040063E-004   0.000000000E+000
   0.23356504938454314E-007  -0.720556272E-006   0.000000000E+000
   0.23387318269507684E-007  -0.150101423E-004   0.000000000E+000
   0.23418131600561054E-007   0.288548108E-006   0.000000000E+000
   0.23448944931614424E-007   0.151454342E-004   0.000000000E+000
   0.23479758262667794E-007  -0.176596586E-007   0.000000000E+000
   0.23510571593721163E-007  -0.207460871E-004   0.000000000E+000
   0.23541384924774533E-007  -0.833139075E-005   0.000000000E+000
   0.23572198255827903E-007   0.222772069E-004   0.000000000E+000
   0.23603011586881273E-007   0.223319948E-004   0.000000000E+000
   0.23633824917934643E-007  -0.117471791E-004   0.000000000E+000
   0.23664638248988012E-007  -0.296574490E-004   0.000000000E+000
   0.23695451580041382E-007  -0.540919609E-005   0.000000000E+000
   0.23726264911094752E-007   0.230015376E-004   0.000000000E+000
   0.23757078242148122E-007   0.151228169E-004   0.000000000E+000
   0.23787891573201492E-007  -0.104942037E-004   0.000000000E+000
   0.23818704904254862E-007  -0.121265693E-004   0.000000000E+000
   0.23849518235308231E-007   0.622521293E-005   0.000000000E+000
   0.23880331566361601E-007   0.725199425E-005   0.000000000E+000
   0.23911144897414971E-007  -0.116485116E-004   0.000000000E+000
   0.23941958228468341E-007  -0.131521092E-004   0.000000000E+000
   0.23972771559521711E-007   0.129556402E-004   0.000000000E+000
   0.24003584890575080E-007   0.262398207E-004   0.000000000E+000
   0.24034398221628450E-007   0.260870365E-006   0.000000000E+000
   0.24065211552681820E-007  -0.299414405E-004   0.000000000E+000
   0.24096024883735190E-007  -0.193652122E-004   0.000000000E+000
   0.24126838214788560E-007   0.166245118E-004   0.000000000E+000
   0.24157651545841929E-007   0.263089860E-004   0.000000000E+000
   0.24188464876895299E-007   0.952504706E-006   0.000000000E+000
   0.24219278207948669E-007  -0.171306547E-004   0.000000000E+000
   0.24250091539002039E-007  -0.545215789E-005   0.000000000E+000
   0.24280904870055409E-007   0.760820330E-005   0.000000000E+000
   0.24311718201108778E-007  -0.215488217E-005   0.000000000E+000
   0.24342531532162148E-007  -0.122121601E-004   0.000000000E+000
   0.24373344863215518E-007   0.385438761E-005   0.000000000E+000
   0.24404158194268888E-007   0.240817590E-004   0.000000000E+000
   0.24434971525322258E-007   0.106131811E-004   0.000000000E+000
   0.24465784856375627E-007  -0.237201275E-004   0.000000000E+000
   0.24496598187428997E-007  -0.286864688E-004   0.000000000E+000
   0.24527411518482367E-007   0.551801168E-005   0.000000000E+000
   0.24558224849535737E-007   0.307202645E-004   0.000000000E+000
   0.24589038180589107E-007   0.137004645E-004   0.000000000E+000
   0.24619851511642477E-007  -0.159195970E-004   0.000000000E+000
   0.24650664842695846E-007  -0.162581327E-004   0.000000000E+000
   0.24681478173749216E-007   0.337519486E-005   0.000000000E+000
   0.24712291504802586E-007   0.650025549E-005   0.000000000E+000
   0.24743104835855956E-007  -0.657551618E-005   0.000000000E+000
   0.24773918166909326E-007  -0.410804932E-005   0.000000000E+000
   0.24804731497962695E-007   0.157445666E-004   0.000000000E+000
   0.24835544829016065E-007   0.169729719E-004   0.000000000E+000
   0.24866358160069435E-007  -0.117211912E-004   0.000000000E+000
   0.24897171491122805E-007  -0.303314046E-004   0.000000000E+000
   0.24927984822176175E-007  -0.767946221E-005   0.000000000E+000
   0.24958798153229544E-007   0.264664723E-004   0.000000000E+000
   0.24989611484282914E-007   0.242638089E-004   0.000000000E+000
   0.25020424815336284E-007  -0.814705345E-005   0.000000000E+000
   0.25051238146389654E-007  -0.230294972E-004   0.000000000E+000
   0.25082051477443024E-007  -0.526438998E-005   0.000000000E+000
